49;5549990;6000000;NULL;NULL;Apple;M3;NULL;MacBook;Apple M3;NULL;512GB SSD
50;3549990;4000000;NULL;NULL;Apple;M2;NULL;MacBook;Apple M2;NULL;512GB SSD
51;1615990;2250000;NULL;NULL;Lenovo;NULL;NULL;ThinkBook;Intel Core i5;8GB;512GB SSD
52;4649990;4800000;NULL;NULL;HP;Ultra 7;NULL;Other;Intel Core Ultra 7;16GB;1TB SSD
53;1879990;2000000;NULL;NULL;HP;Core i5;NULL;ProBook;Intel Core i5;8GB;512GB SSD
54;1699990;2000000;5;1;HP;NULL;8GB-512GB SSD;Envy;NULL;8GB;512GB SSD
55;2859990;3100000;NULL;NULL;Lenovo;Core i7;NULL;ThinkPad;Intel Core i7;8GB;512GB SSD
56;3469990;3800000;NULL;NULL;HP;Core i7;NULL;Other;Intel Core i7;NULL;NULL
57;1429990;1800000;5;1;Dell;Core i5;NULL;Vostro;Intel Core i5;NULL;NULL
58;2439990;2750000;NULL;NULL;Lenovo;Ultra 5;NULL;ThinkPad;Intel Core Ultra 5;8GB;512GB SSD
59;3889990;4000000;NULL;NULL;Lenovo;NULL;NULL;ThinkPad;Intel Core i7;NULL;NULL
60;2279990;2750000;NULL;NULL;HP;Ultra 7;NULL;ProBook;Intel Core Ultra 7;NULL;NULL
61;1599990;1699990;NULL;NULL;Infinix;Core i5;NULL;Inbook;Intel Core i5;16GB;512GB SSD
62;2449990;2889990;NULL;NULL;HP;NULL;NULL;Victus;NULL;16GB;512GB SSD
63;2179990;2550000;NULL;NULL;HP;NULL;NULL;OmniBook;NULL;16GB;512GB SSD
64;1999990;2249990;NULL;NULL;Lenovo;Ultra 5;NULL;IdeaPad;Intel Core Ultra 5;16GB;512GB SSD
65;2569990;2800000;NULL;NULL;Lenovo;Ultra 7;NULL;IdeaPad;Intel Core Ultra 7;16GB;512GB SSD
66;3249990;3550000;5;1;Lenovo;Core i7;NULL;LOQ;Intel Core i7;NULL;512GB SSD
67;1109990;1190000;5;1;HP;Core i3;NULL;Other;Intel Core i3;4GB;256GB SSD
68;3009990;3490000;NULL;NULL;LENOVO;NULL;NULL;LOQ;Intel Core i7;NULL;NULL
69;3769990;4249990;NULL;NULL;LENOVO;Core i7;NULL;LOQ;Intel Core i7;NULL;NULL
70;1019990;1490000;NULL;NULL;HP;NULL;256GB SSD;Other;Intel Core i3;4GB;256GB SSD
71;3819990;4299990;NULL;NULL;Lenovo;NULL;NULL;Legion;Intel Core i7;16GB;1TB SSD
72;6969990;7450000;NULL;NULL;Lenovo;Ultra 9;NULL;Legion;NULL;8GB;1TB SSD
73;3599990;4000000;NULL;NULL;ASUS;NULL;16GB-512GB SSD;TUF Gaming;Intel Core i7;8GB;512GB SSD
74;5019990;5490000;NULL;NULL;ASUS;NULL;NULL;TUF Gaming;NULL;32GB;1TB SSD
75;1699990;2300000;NULL;NULL;ASUS;NULL;8GB-512GB SSD;ExpertBook;Intel Core i5;8GB;512GB SSD
76;2099990;2600000;NULL;NULL;Asus;NULL;16GB-512GB SSD;ExpertBook;Intel Core i7;16GB;512GB SSD
77;2939990;3400000;NULL;NULL;Lenovo;Ultra 7;16GB-512GB SSD;ThinkPad;Intel Core Ultra 7;16GB;512GB SSD
78;6459990;7500000;NULL;NULL;Dell;Ultra 9;NULL;Alienware;NULL;8GB;1TB SSD
79;1399990;1700000;NULL;NULL;HP;NULL;8GB-512GB SSD;Other;Intel Core i5;8GB;512GB SSD
80;4039990;4450000;NULL;NULL;HP;NULL;NULL;OmniBook;NULL;32GB;2TB SSD
81;2309990;3099990;NULL;NULL;Lenovo;Core i7;NULL;ThinkPad;Intel Core i7;8GB;512GB SSD
82;1999990;2399990;NULL;NULL;HP;Core i5;NULL;ProBook;Intel Core i5;8GB;512GB SSD
83;1799990;2100000;5;1;HP;Core i5;NULL;ProBook;Intel Core i5;NULL;NULL
