Discounted_Price,Actual_Price,Rating,Reviews,Brand,Core,SSD,Series,Processor,RAM,Storage
3249990.0,3550000.0,5.0,1.0,Lenovo,Core i7,,LOQ,Intel Core i7,,512GB SSD
1109990.0,1190000.0,5.0,1.0,HP,Core i3,,Other,Intel Core i3,4GB,256GB SSD
3009990.0,3490000.0,,,Lenovo,,,LOQ,Intel Core i7,,
3769990.0,4249990.0,,,Lenovo,Core i7,,LOQ,Intel Core i7,,
1019990.0,1490000.0,,,HP,,256GB,Other,Intel Core i3,4GB,256GB SSD
3819990.0,4299990.0,,,Lenovo,,,Legion,Intel Core i7,16GB,1TB SSD
6969990.0,7450000.0,,,Lenovo,Ultra 9,,Legion,,8GB,1TB SSD
3599990.0,4000000.0,,,Asus,,512GB,TUF Gaming,Intel Core i7,8GB,512GB SSD
5019990.0,5490000.0,,,Asus,,,TUF Gaming,,32GB,1TB SSD
1699990.0,2300000.0,,,Asus,,512GB,ExpertBook,Intel Core i5,8GB,512GB SSD
2099990.0,2600000.0,,,Asus,,512GB,ExpertBook,Intel Core i7,16GB,512GB SSD
2939990.0,3400000.0,,,Lenovo,Ultra 7,512GB,ThinkPad,Intel Core Ultra 7,16GB,512GB SSD
6459990.0,7500000.0,,,Dell,Ultra 9,,Alienware,,8GB,1TB SSD
1399990.0,1700000.0,,,HP,,512GB,Other,Intel Core i5,8GB,512GB SSD
4039990.0,4450000.0,,,HP,,,OmniBook,,32GB,2TB SSD
2309990.0,3099990.0,,,Lenovo,Core i7,,ThinkPad,Intel Core i7,8GB,512GB SSD
1999990.0,2399990.0,,,HP,Core i5,,ProBook,Intel Core i5,8GB,512GB SSD
1799990.0,2100000.0,5.0,1.0,HP,Core i5,,ProBook,Intel Core i5,,
1869990.0,2599990.0,,,HP,Core i7,,ProBook,Intel Core i7,8GB,512GB SSD
2049990.0,2199990.0,,,Lenovo,Core i5,,ThinkBook,Intel Core i5,8GB,1TB SSD
1919990.0,2349990.0,,,HP,Ryzen 5,,Other,AMD Ryzen 5,8GB,512GB SSD
1329990.0,1999990.0,,,Lenovo,,512GB,V Series,Intel Core i5,8GB,512GB SSD
1489990.0,1850000.0,,,HP,Core i5,512GB,Other,Intel Core i5,8GB,512GB SSD
2149990.0,2400000.0,,,HP,Core i7,,ProBook,Intel Core i7,8GB,512GB SSD
1279990.0,2000000.0,,,Lenovo,,512GB,ThinkBook,Intel Core i3,8GB,512GB SSD
1654880.0,2000000.0,,,Lenovo,Core i5,,ThinkBook,Intel Core i5,,
2259990.0,3000000.0,,,Lenovo,,,ThinkBook,,8GB,512GB SSD
1459990.0,1500000.0,,,Lenovo,Core i5,,V Series,Intel Core i5,,
2479990.0,3000000.0,,,HP,Core i7,,Other,Intel Core i7,16GB,512GB SSD
1689990.0,2000000.0,,,Lenovo,Core i7,,IdeaPad,Intel Core i7,16GB,512GB SSD
2379990.0,2500000.0,,,Lenovo,Core i5,,ThinkPad,Intel Core i5,8GB,512GB SSD
2379990.0,2500000.0,,,Lenovo,Core i5,,ThinkPad,Intel Core i5,8GB,512GB SSD
1999990.0,2300000.0,,,HP,Core i5,,Other,Intel Core i5,8GB,512GB SSD
2339990.0,2500000.0,,,HP,,,Envy,,16GB,512GB SSD
1419990.0,2000000.0,,,HP,,,Other,,8GB,512GB SSD
2619990.0,3700000.0,,,Lenovo,Ultra 7,,Yoga,Intel Core Ultra 7,16GB,1TB SSD
1719990.0,2000000.0,,,Dell,,256GB,Latitude,Intel Core i5,8GB,256GB SSD
2219990.0,2900000.0,,,Dell,,,Inspiron,,,
1819990.0,2000000.0,,,Asus,,512GB,ExpertBook,Intel Core i7,16GB,512GB SSD
2169990.0,2350000.0,,,HP,Ultra 5,,ProBook,Intel Core Ultra 5,,
2519990.0,2800000.0,,,Lenovo,Ultra 7,512GB,ThinkBook,Intel Core Ultra 7,8GB,512GB SSD
4339990.0,4600000.0,,,HP,,,Omen,Intel Core i7,32GB,1TB SSD
3789990.0,3999990.0,,,Asus,,,ROG,Intel Core i7,32GB,1TB SSD
3279990.0,3699990.0,,,Dell,Ultra 7,512GB,Latitude,Intel Core Ultra 7,8GB,512GB SSD
