Discounted_Price,Actual_Price,Rating,Reviews,Brand,Core,SSD,Series,Processor,RAM,Storage
4309990.0,4499990.0,,,Acer,Core i9,,Predator,Intel Core i9,32GB,1TB SSD
7819990.0,9500000.0,,,Acer,Core i9,,Predator,Intel Core i9,32GB,1TB SSD
4999990.0,5500000.0,,,Asus,Ryzen 9,,ROG,AMD Ryzen 9,8GB,1TB SSD
1455000.0,,,,Lenovo,Ryzen 7,512GB,ThinkPad,AMD Ryzen 7,,512GB SSD
2250000.0,,,,Asus,Core i7,,ExpertBook,Intel Core i7,16GB,512GB SSD
2600000.0,,,,Asus,Core i5,,TUF Gaming,Intel Core i5,16GB,512GB SSD
1530000.0,,,,Lenovo,Core i5,,ThinkPad,Intel Core i5,8GB,512GB SSD
1550000.0,,,,Asus,Core i5,,ExpertBook,Intel Core i5,8GB,512GB SSD
3000000.0,,,,Asus,Core i7,,TUF Gaming,Intel Core i7,16GB,512GB SSD
3450000.0,,,,Asus,Core i7,,TUF Gaming,Intel Core i7,16GB,512GB SSD
4429990.0,,,,Infinix,Core i9,,GT Book,Intel Core i9,32GB,1TB SSD
2050000.0,,,,Asus,Core i7,,ExpertBook,Intel Core i7,16GB,512GB SSD
2550000.0,,,,Asus,Core i5,,TUF Gaming,Intel Core i5,8GB,512GB SSD
3999000.0,,,,Asus,Ryzen 9,,ROG,AMD Ryzen 9,16GB,1TB SSD
